"debate_title","motion_text"
"Rising Cost of Transport","I beg to move, That this House believes the rising cost of transport is adding to the financial pressures facing many households; notes that the Government failed to honour its pledge to cap this month’s rail fare rises at 1 per cent above inflation, resulting in some fares rising by as much as 9.2 per cent; recognises that this was a direct consequence of the Government’s decision to give back to the private train operators the right to increase fares by up to an additional 5 per cent beyond the increase set by Ministers; further notes that bus fares increased on average by more than twice the rate of inflation in 2012; calls on the Government to ban train operators from increasing fares beyond strict limits and to rule out the proposed introduction of a new category of super peak ticket which would increase the burden on hard-pressed commuters; and further calls on Ministers to support transport authorities pursuing Quality Contracts to bring accountability to bus fares, instead of using Better Bus Area funding to penalise authorities seeking to get better value for money for these taxpayer-funded services."
"Examination Reform","I beg to move, That this House notes the breadth of opposition from business, the creative industries, champions of vocational education and schools to the Government’s plans to introduce English Baccalaureate Certificates; and calls on the Government to rethink its plans."
"Fuel Poverty and Energy Efficiency","I beg to move, That this House notes that the typical annual dual fuel energy bill has now hit a record high of £1,400; notes with concern the warning from the Fuel Poverty Advisory Group that 300,000 extra households could be pushed into fuel poverty this winter; further notes analysis by National Energy Action which shows that support for fuel poor and low income households will fall dramatically under the Energy Company Obligation; believes that the most sustainable way for households to cut their energy bills is to make their homes more energy efficient; and calls on the Government to ensure that the Green Deal is offered on fair terms and at affordable interest rates to the public, without punitive upfront assessment fees or early repayment fines, to ensure that appropriate action is taken against energy companies that have not met their obligations under the Community Energy Saving Programme or the Carbon Emissions Reduction Target, and to extend the deadline for Warm Front until the full budget for 2012-13 has been committed to expenditure."
"Up-rating of certain social security benefits for tax years 2014-15 and 2015-16","I beg to move amendment 12, page 1, line 4, leave out ‘by 1%’."
"Backbench Business		Voting Age","I beg to move, That this House believes that the age of eligibility for voting in all elections and referendums in the United Kingdom should be reduced to 16."
"New Removal of disqualification arising from faith","I beg to move, That the clause be read a Second time."
"Amendment of Parliamentary Constituencies Act 1986","I beg to move, That this House disagrees with Lords amendment 5."
"Interpretation","I beg to move, That this House agrees with Lords amendment C3."
"Marriage (Same Sex Couples) Bill","I beg to move, That the Bill be now read a Second time."
"Police","I beg to move, That the Police Grant Report (England and Wales) for 2013-14 (HC 876), which was laid before this House on 4 February, be approved."
"Local Government Finance (England)","I beg to move motion 3, That the Local Government Finance Report (England) 2013-14 (HC 948), which was laid before this House on 4 February, be approved."
"Opposition Day		 		Housing Benefit (Under-occupancy Penalty)","I beg to move, That this House deplores and opposes the Government’s introduction of the housing benefit under-occupancy penalty; believes it to be unjust and unworkable; notes growing public anger at its introduction; believes that the Government is showing a reckless lack of care and attention to the consequences of its introduction for low-income households affected by disability; further believes that it will adversely affect, amongst others, families of service personnel, foster families and those struggling with the effects of family breakdown; notes that some parts of the UK will be disproportionately hit because of the mismatch between the available social housing stock and the needs of tenants; further notes that according to the Department for Work and Pensions’ Equality Impact Assessment, 63 per cent of the 660,000 claimants affected by the under-occupancy penalty or their partners are disabled; believes that the measure unfairly penalises tenants in rural and inner-city areas; further believes the under-occupancy penalty will fail to meet its stated objectives; and calls on the Government to abandon this policy immediately."
"Declaration permitting closed material applications in proceedings","I beg to move amendment 26, page 4, line 39, leave out ‘two’ and insert ‘three’."
"Schedule 2		Consequential provision","I beg to move, That the Bill be now read the Third time."
"Apprenticeships","I beg to move, That this House notes National Apprenticeship Week, established by the previous Government, and held from 11 to 15 March 2013, which celebrates the value of apprenticeships, particularly in providing opportunities and developing skills; further notes the need to increase apprenticeship places; and therefore resolves that the Government uses the billions of pounds committed to public procurement to boost apprenticeships by requiring firms winning public contracts worth over £1 million to offer apprenticeship opportunities, implementing the recommendation of the Fifth Report of the Business, Innovation and Skills Committee, HC 83, on Apprenticeships."
"New Modification of NCA functions","I beg to move, That the clause be read a Second time."
"Immigration Rules: Sponsors","I beg to move, That the House sit in private."
"New Clause 21A		Awards of exemplary damages","I beg to move, That the clause be read a Second time."
"Jobseekers (Back to Work Schemes) Bill","I beg to move, That the Bill be now read a Second time."
"Finance (No. 2) Bill","I beg to move, That the Bill be now read a Second time. It is a great pleasure to present this year’s Finance Bill—a Bill that further demonstrates the Government’s commitment to creating a tax system that is fairer, simpler and more transparent, and one that will promote growth and reward work. Unlike the Opposition, those of us on the Government Benches recognise that we have to address the fiscal mess left us. That means that we have to resist the voices of those wanting to engage in a further splurge in borrowing. But we can take steps to make ourselves more competitive and help people with the cost of living, and that is what we will do in the Bill. I will happily take interventions this afternoon, but to give some structure to my speech it is perhaps worth while my laying out to the Chamber the order in which I intend to discuss the Bill. First, I will talk about the measures that will support growth and enterprise, then the measures that will tackle avoidance and evasion, and then the measures that will increase fairness. Finally, I will talk about the way in which the Bill will help to deliver a simpler tax system."
"Growth and Infrastructure Bill","I beg to move, That this House disagrees with Lords amendment 25."
"Development orders: development within the curtilage of a dwelling house","I beg to move, That this House disagrees with Lords amendment 7."
"Commission for Equality and Human Rights","I beg to move, That this House disagrees with Lords amendment 35."
"Arbitration Service for defamation and related civil claims against members of Independent Regulatory Board","I beg to move, That this House disagrees with Lords amendment 1."
"Sittings of the House (Wednesday 17 April)","I beg to move, That, on Wednesday 17 April: (1) the House shall meet at 2.30 pm and the moment of interruption shall be at 10.00 pm; (2) notwithstanding the provisions of Standing Order No. 21 (Time for taking questions), no questions shall be taken other than questions which are in the Speaker’s opinion of an urgent character and relate either to matters of public importance or to the arrangement of business; (3) the sitting in Westminster Hall shall begin at 2.30 pm and continue for up to four and a half hours; and (4) in calculating the period of four and a half hours in paragraph (3) no account shall be taken of any period during which the sitting in Westminster Hall may be suspended owing to a division being called in the House or in a committee of the whole House."
"Bank Levy: rates from January 2013","I beg to move amendment 2, page 118, line 22, at end add— ‘(14) The Chancellor of the Exchequer shall review the possibility of incorporating a bank payroll tax within the bank levy and publish a report, within six months of the passing of this Act, on how additional revenue raised would be invested to create new jobs and tackle unemployment.’."
"New General anti-tax avoidance principle","I beg to move, That the clause be read a Second time."
"Charge for 2013-14","I beg to move amendment 1, page 1, line 7, at end add— ‘(1) The Chancellor of the Exchequer shall, within three months of the passing of this Act, publish a report on the additional rate of income tax."
"New Rate of VAT","I beg to move, That the clause be read a Second time."
"Basic rate limit for 2013-14","I beg to move amendment 10, page 2, line 11, at end add— ‘(3) The Chancellor shall produce a report on subsection (1) which shall include an assessment of the impact of changes to taxation on the living standards of basic rate taxpayers which shall be placed in the House of Commons Library within three months of Royal Assent.’."
"Schedule 1		Persons in public service: definitions","I beg to move, That this House disagrees with Lords amendment 78."
"Section 5 of the European Communities (Amendment) Act 1993","I beg to move, That this House approves, for the purposes of section 5 of the European Communities (Amendment) Act 1993, the Government’s assessment as set out in the Budget Report, combined with the Office for Budget Responsibility’s Economic and Fiscal Outlook, which forms the basis of the United Kingdom’s Convergence Programme."
"Development orders: development within the curtilage of a dwelling house","I beg to move, That this House agrees with the Lords in their amendments 7B and 7C in lieu of Lords amendment 7, to which this House has disagreed."
